state,year,candidate,party,votes
Tamil Nadu,2014,Rajesh Nair,SP,305245
Andhra Pradesh,2019,Ramesh Gowda,AITC,585548
Sikkim,2014,Rajiv Das,BJP,535360
Assam,2024,Sonal Tiwari,Independent,528730
Haryana,2024,Suresh Patel,SP,55014
Andhra Pradesh,2019,Vikram Gupta,Independent,550791
Gujarat,2019,Rajesh Nair,Independent,52920
Nagaland,2014,Rajiv Das,AITC,581013
Bihar,2014,Alok Verma,Independent,689305
Nagaland,2019,Pallavi Sharma,INC,210228
Bihar,2019,Rajesh Nair,AITC,374019
Sikkim,2019,Anita Menon,BJP,445476
Assam,2014,Anita Menon,BJP,256681
Kerala,2014,Suresh Patel,INC,154209
Delhi,2024,Prakash Yadav,Independent,361445
Uttarakhand,2024,Prakash Yadav,AITC,173160
Arunachal Pradesh,2019,Suresh Patel,SP,416339
Bihar,2024,Neha Kulkarni,INC,270650
Odisha,2019,Amit Sharma,BJP,133133
Jharkhand,2024,Kiran Rao,INC,197209
Jharkhand,2024,Deepak Chawla,INC,186674
Assam,2014,Rajesh Nair,INC,356083
Nagaland,2019,Prakash Yadav,SP,472612
West Bengal,2024,Pallavi Sharma,SP,145085
Meghalaya,2024,Manoj Singh,INC,144504
Chhattisgarh,2024,Neha Kulkarni,BJP,534637
Tripura,2014,Kiran Rao,INC,121464
Meghalaya,2024,Prakash Yadav,SP,248337
Chhattisgarh,2019,Anita Menon,AITC,533641
Punjab,2014,Anita Menon,AITC,51273
Punjab,2014,Anita Menon,SP,510611
Uttarakhand,2014,Alok Verma,SP,439226
Himachal Pradesh,2019,Pooja Desai,AITC,356308
Haryana,2014,Rajesh Nair,AITC,292300
Karnataka,2024,Manoj Singh,Independent,446914
Karnataka,2024,Ramesh Gowda,Independent,267652
Uttarakhand,2019,Suresh Patel,AITC,221069
Nagaland,2024,Manoj Singh,SP,183915
Uttarakhand,2014,Prakash Yadav,BJP,617204
Karnataka,2024,Karthik Reddy,Independent,365827
Maharashtra,2014,Pallavi Sharma,INC,203620
Tamil Nadu,2024,Pallavi Sharma,Independent,416034
Rajasthan,2019,Manoj Singh,AITC,297413
Goa,2019,Deepak Chawla,Independent,61778
Kerala,2014,Neha Kulkarni,AITC,98112
Gujarat,2019,Pallavi Sharma,BJP,611288
Chhattisgarh,2024,Vikram Gupta,Independent,123652
Kerala,2019,Deepak Chawla,BJP,358506
Gujarat,2019,Rajiv Das,AITC,681173
Andhra Pradesh,2014,Ramesh Gowda,Independent,555751
Assam,2014,Rajiv Das,BJP,389177
Maharashtra,2024,Deepak Chawla,INC,584532
West Bengal,2024,Rajesh Nair,BJP,688527
Haryana,2019,Neha Kulkarni,Independent,309130
Gujarat,2019,Amit Sharma,BJP,228590
Andhra Pradesh,2014,Prakash Yadav,SP,581621
Meghalaya,2024,Deepak Chawla,INC,309457
Haryana,2024,Simran Kaur,INC,348327
Delhi,2024,Simran Kaur,INC,673881
Sikkim,2014,Anita Menon,SP,409024
Himachal Pradesh,2014,Kiran Rao,BJP,462399
Himachal Pradesh,2024,Karthik Reddy,BJP,607353
Mizoram,2019,Anita Menon,INC,639172
Uttarakhand,2014,Suresh Patel,BJP,548046
West Bengal,2024,Prakash Yadav,Independent,220724
Manipur,2019,Rajiv Das,Independent,562634
Sikkim,2024,Pallavi Sharma,INC,696960
Odisha,2024,Vinod Joshi,BJP,688610
Kerala,2014,Alok Verma,Independent,260791
Chhattisgarh,2024,Pooja Desai,AITC,199855
Jharkhand,2024,Manoj Singh,INC,261479
Maharashtra,2024,Rajesh Nair,SP,462539
West Bengal,2024,Meena Chopra,SP,335951
Andhra Pradesh,2024,Neha Kulkarni,AITC,603217
Uttarakhand,2019,Rajesh Nair,AITC,429356
Uttarakhand,2014,Amit Sharma,SP,436709
Maharashtra,2024,Amit Sharma,Independent,160468
Meghalaya,2019,Prakash Yadav,Independent,503932
Arunachal Pradesh,2019,Neha Kulkarni,Independent,125968
West Bengal,2019,Meena Chopra,SP,323642
Chhattisgarh,2019,Rajesh Nair,SP,359116
Delhi,2014,Vikram Gupta,AITC,160792
Gujarat,2019,Vikram Gupta,BJP,607889
Manipur,2014,Prakash Yadav,AITC,133145
Assam,2024,Rajesh Nair,BJP,111448
Karnataka,2024,Karthik Reddy,Independent,606449
Meghalaya,2014,Suresh Patel,Independent,160179
Kerala,2014,Kiran Rao,Independent,499291
Rajasthan,2019,Sonal Tiwari,BJP,412193
Gujarat,2024,Neha Kulkarni,SP,288152
Andhra Pradesh,2019,Rajiv Das,Independent,171196
Karnataka,2019,Amit Sharma,BJP,93357
Karnataka,2014,Vinod Joshi,AITC,230833
Meghalaya,2014,Pooja Desai,SP,564655
Madhya Pradesh,2014,Anita Menon,AITC,176760
Uttar Pradesh,2014,Vinod Joshi,BJP,159285
Sikkim,2019,Pooja Desai,Independent,288244
Goa,2019,Ramesh Gowda,BJP,393969
Punjab,2024,Rajesh Nair,INC,690046
West Bengal,2019,Neha Kulkarni,AITC,622433
Uttar Pradesh,2019,Alok Verma,Independent,353030
Tamil Nadu,2024,Rajiv Das,SP,409050
Karnataka,2024,Kiran Rao,INC,697622
Uttarakhand,2024,Meena Chopra,BJP,461928
Uttarakhand,2014,Deepak Chawla,INC,361510
Maharashtra,2024,Prakash Yadav,BJP,382457
Sikkim,2019,Rajiv Das,BJP,383161
Maharashtra,2014,Vinod Joshi,INC,508736
Nagaland,2019,Meena Chopra,SP,82103
Odisha,2019,Amit Sharma,BJP,302616
Manipur,2024,Kiran Rao,Independent,377844
Odisha,2014,Karthik Reddy,BJP,568050
Arunachal Pradesh,2014,Meena Chopra,INC,505694
West Bengal,2019,Prakash Yadav,BJP,660897
Meghalaya,2014,Vikram Gupta,Independent,342434
Karnataka,2019,Karthik Reddy,Independent,445508
Arunachal Pradesh,2019,Ramesh Gowda,AITC,112099
Uttar Pradesh,2014,Manoj Singh,SP,315606
Tamil Nadu,2019,Meena Chopra,Independent,502796
Himachal Pradesh,2024,Kiran Rao,INC,239461
Tripura,2024,Rajiv Das,BJP,560572
Nagaland,2024,Ramesh Gowda,INC,644750
Sikkim,2024,Simran Kaur,Independent,75567
Telangana,2024,Karthik Reddy,INC,86748
Madhya Pradesh,2024,Ramesh Gowda,SP,264656
Andhra Pradesh,2019,Manoj Singh,BJP,253896
Meghalaya,2024,Sonal Tiwari,AITC,486041
Punjab,2024,Prakash Yadav,SP,282917
Punjab,2024,Karthik Reddy,BJP,246162
Gujarat,2019,Pooja Desai,SP,178108
Bihar,2014,Sonal Tiwari,BJP,215770
Meghalaya,2014,Meena Chopra,AITC,467144
Gujarat,2024,Rajiv Das,SP,534655
Madhya Pradesh,2019,Alok Verma,AITC,640959
Jharkhand,2024,Kiran Rao,INC,681097
Tripura,2024,Anita Menon,BJP,139386
Gujarat,2024,Vinod Joshi,Independent,481975
Uttar Pradesh,2024,Sonal Tiwari,AITC,525255
Andhra Pradesh,2024,Deepak Chawla,AITC,285572
Andhra Pradesh,2024,Pallavi Sharma,AITC,156947
Uttar Pradesh,2024,Anita Menon,Independent,321340
Telangana,2024,Meena Chopra,BJP,396984
Mizoram,2019,Ramesh Gowda,INC,502287
Tamil Nadu,2014,Manoj Singh,Independent,629992
Haryana,2014,Suresh Patel,SP,275353
Andhra Pradesh,2024,Deepak Chawla,INC,114821
Delhi,2019,Pallavi Sharma,AITC,262810
Madhya Pradesh,2024,Vinod Joshi,Independent,230909
Chhattisgarh,2014,Meena Chopra,AITC,348038
Kerala,2014,Meena Chopra,SP,493916
Arunachal Pradesh,2019,Rajesh Nair,SP,124837
Jharkhand,2024,Kiran Rao,INC,519837
Bihar,2024,Ramesh Gowda,Independent,220807
Mizoram,2024,Sonal Tiwari,SP,440555
Jharkhand,2014,Rajesh Nair,INC,517367
Delhi,2014,Suresh Patel,SP,279065
Delhi,2014,Vikram Gupta,INC,644409
Punjab,2014,Prakash Yadav,Independent,339849
Nagaland,2014,Meena Chopra,BJP,500482
Punjab,2019,Anita Menon,INC,619474
Tamil Nadu,2014,Karthik Reddy,BJP,281214
Punjab,2014,Vikram Gupta,SP,190939
Nagaland,2024,Ramesh Gowda,AITC,323756
Maharashtra,2019,Neha Kulkarni,INC,576843
Himachal Pradesh,2024,Prakash Yadav,AITC,339446
Haryana,2024,Pooja Desai,AITC,76641
Arunachal Pradesh,2024,Kiran Rao,AITC,398524
Tamil Nadu,2019,Meena Chopra,INC,667768
Sikkim,2024,Rajiv Das,Independent,196795
Tripura,2014,Pooja Desai,AITC,202470
Karnataka,2019,Deepak Chawla,INC,559943
Nagaland,2014,Karthik Reddy,INC,74017
Maharashtra,2024,Pooja Desai,BJP,446189
Odisha,2019,Sonal Tiwari,BJP,384532
Himachal Pradesh,2019,Prakash Yadav,Independent,438153
Manipur,2019,Kiran Rao,BJP,688130
Goa,2014,Rajiv Das,SP,335614
Karnataka,2019,Prakash Yadav,Independent,506126
Maharashtra,2014,Manoj Singh,Independent,384128
Haryana,2019,Simran Kaur,BJP,100436
Odisha,2024,Simran Kaur,BJP,151259
Goa,2014,Manoj Singh,BJP,360136
Telangana,2024,Pooja Desai,Independent,206052
Odisha,2019,Pooja Desai,SP,287794
Uttarakhand,2024,Simran Kaur,SP,470125
Delhi,2014,Amit Sharma,Independent,252936
Bihar,2019,Prakash Yadav,Independent,339746
Nagaland,2024,Rajesh Nair,Independent,103371
Tamil Nadu,2024,Vinod Joshi,SP,627153
Karnataka,2024,Suresh Patel,SP,683071
Maharashtra,2019,Kiran Rao,AITC,189237
Andhra Pradesh,2024,Meena Chopra,AITC,249501
Bihar,2014,Alok Verma,BJP,478400
West Bengal,2014,Suresh Patel,INC,673966
Uttar Pradesh,2019,Rajiv Das,SP,669617
Punjab,2019,Manoj Singh,Independent,570043
Tamil Nadu,2024,Manoj Singh,SP,299170
Goa,2019,Ramesh Gowda,SP,80742
Arunachal Pradesh,2019,Vinod Joshi,AITC,388393
Karnataka,2014,Alok Verma,BJP,88353
Uttar Pradesh,2014,Ramesh Gowda,INC,431080
Arunachal Pradesh,2024,Pooja Desai,SP,379738
Sikkim,2019,Rajiv Das,AITC,451034
Kerala,2024,Suresh Patel,AITC,317649
Maharashtra,2014,Sonal Tiwari,BJP,492503
Delhi,2019,Prakash Yadav,AITC,124333
Himachal Pradesh,2014,Prakash Yadav,SP,344516
Tamil Nadu,2024,Deepak Chawla,SP,139599
Odisha,2024,Karthik Reddy,AITC,695570
Rajasthan,2019,Anita Menon,SP,294279
Kerala,2019,Manoj Singh,INC,524448
Uttar Pradesh,2019,Rajiv Das,AITC,652521
Uttar Pradesh,2019,Manoj Singh,SP,187640
Assam,2019,Rajesh Nair,INC,83586
Kerala,2024,Alok Verma,SP,467178
Bihar,2019,Vinod Joshi,INC,517955
Kerala,2014,Rajesh Nair,BJP,299664
Tamil Nadu,2024,Rajesh Nair,BJP,606990
Telangana,2024,Manoj Singh,Independent,516078
Haryana,2024,Neha Kulkarni,INC,277743
Punjab,2024,Alok Verma,INC,354239
West Bengal,2014,Vikram Gupta,Independent,526323
Arunachal Pradesh,2019,Meena Chopra,AITC,243013
Chhattisgarh,2019,Karthik Reddy,SP,291542
Andhra Pradesh,2019,Vinod Joshi,Independent,283173
Tripura,2014,Amit Sharma,BJP,645199
Chhattisgarh,2019,Simran Kaur,SP,132596
Maharashtra,2024,Alok Verma,INC,664748
Rajasthan,2014,Rajesh Nair,INC,654668
Bihar,2014,Pooja Desai,SP,187660
Maharashtra,2019,Pallavi Sharma,Independent,561439
Karnataka,2024,Suresh Patel,SP,539635
Delhi,2024,Prakash Yadav,INC,103143
Kerala,2014,Karthik Reddy,AITC,78851
Meghalaya,2019,Alok Verma,BJP,326073
Mizoram,2014,Karthik Reddy,BJP,636300
Jharkhand,2014,Sonal Tiwari,Independent,291009
Rajasthan,2024,Ramesh Gowda,AITC,546685
Nagaland,2014,Deepak Chawla,AITC,169774
Punjab,2014,Karthik Reddy,BJP,312012
Tripura,2014,Rajesh Nair,BJP,528611
Meghalaya,2014,Simran Kaur,AITC,554799
Delhi,2014,Prakash Yadav,SP,232902
Tripura,2014,Manoj Singh,INC,354267
Odisha,2014,Ramesh Gowda,AITC,505806
Mizoram,2014,Simran Kaur,SP,576023
Uttar Pradesh,2019,Deepak Chawla,BJP,517531
Sikkim,2014,Pallavi Sharma,Independent,489050
Uttarakhand,2024,Alok Verma,INC,397977
Arunachal Pradesh,2019,Deepak Chawla,AITC,187277
Maharashtra,2019,Deepak Chawla,BJP,404923
Bihar,2024,Meena Chopra,AITC,413102
West Bengal,2019,Amit Sharma,Independent,198283
Tripura,2019,Neha Kulkarni,SP,483381
Telangana,2019,Amit Sharma,AITC,181090
Mizoram,2024,Vinod Joshi,SP,595354
Madhya Pradesh,2019,Karthik Reddy,INC,412947
Uttarakhand,2024,Meena Chopra,AITC,184069
Meghalaya,2019,Karthik Reddy,Independent,224867
Himachal Pradesh,2019,Karthik Reddy,AITC,336216
Maharashtra,2019,Karthik Reddy,SP,607178
Chhattisgarh,2024,Rajiv Das,AITC,517377
Arunachal Pradesh,2024,Neha Kulkarni,BJP,68312
Manipur,2024,Karthik Reddy,BJP,248787
Telangana,2014,Karthik Reddy,SP,371990
Himachal Pradesh,2024,Pooja Desai,SP,495524
Sikkim,2014,Rajesh Nair,SP,114139
Manipur,2019,Simran Kaur,AITC,112818
Rajasthan,2014,Deepak Chawla,SP,294881
Gujarat,2014,Anita Menon,AITC,408883
Kerala,2014,Manoj Singh,AITC,413933
Kerala,2014,Manoj Singh,INC,495899
Nagaland,2019,Karthik Reddy,AITC,489688
Kerala,2014,Anita Menon,BJP,617811
Tripura,2019,Pooja Desai,INC,417563
Andhra Pradesh,2019,Neha Kulkarni,BJP,73594
Karnataka,2014,Vinod Joshi,BJP,243933
Nagaland,2019,Kiran Rao,AITC,359049
Kerala,2019,Alok Verma,BJP,98499
Goa,2014,Amit Sharma,Independent,631123
Telangana,2024,Manoj Singh,SP,592971
Tripura,2019,Pooja Desai,BJP,575724
Kerala,2019,Alok Verma,SP,454621
Mizoram,2024,Simran Kaur,Independent,184585
Bihar,2024,Vikram Gupta,Independent,616035
Haryana,2024,Meena Chopra,AITC,198618
Madhya Pradesh,2019,Manoj Singh,INC,187524
Odisha,2024,Anita Menon,SP,286290
Tripura,2014,Deepak Chawla,INC,130661
Tamil Nadu,2024,Sonal Tiwari,BJP,114001
Arunachal Pradesh,2024,Ramesh Gowda,AITC,449343
Punjab,2024,Rajiv Das,BJP,237189
Gujarat,2014,Ramesh Gowda,Independent,686718
Tripura,2019,Neha Kulkarni,BJP,576588
Tamil Nadu,2024,Karthik Reddy,AITC,559987
Madhya Pradesh,2024,Vinod Joshi,Independent,275698
Sikkim,2019,Anita Menon,INC,165595
Himachal Pradesh,2014,Rajiv Das,Independent,454577
Jharkhand,2014,Vikram Gupta,Independent,77259
Nagaland,2024,Pooja Desai,SP,472053
Tripura,2019,Amit Sharma,INC,215431
Bihar,2024,Rajesh Nair,INC,201882
Haryana,2024,Karthik Reddy,Independent,481546
Rajasthan,2019,Neha Kulkarni,SP,255370
Andhra Pradesh,2019,Vinod Joshi,Independent,459574
Uttar Pradesh,2019,Neha Kulkarni,SP,406680
Goa,2024,Pallavi Sharma,BJP,124797
Haryana,2019,Meena Chopra,Independent,569375
Rajasthan,2024,Kiran Rao,SP,486860
Karnataka,2019,Prakash Yadav,AITC,679308
Telangana,2019,Karthik Reddy,SP,76224
Odisha,2019,Ramesh Gowda,SP,545147
Odisha,2019,Kiran Rao,AITC,330932
Rajasthan,2014,Pallavi Sharma,INC,604720
Kerala,2014,Prakash Yadav,INC,573403
Karnataka,2024,Manoj Singh,SP,425090
Haryana,2014,Neha Kulkarni,AITC,137735
Maharashtra,2014,Rajiv Das,SP,171393
Bihar,2024,Sonal Tiwari,BJP,237419
Nagaland,2014,Deepak Chawla,Independent,518094
Kerala,2024,Deepak Chawla,Independent,475403
Odisha,2024,Anita Menon,SP,220331
Himachal Pradesh,2024,Deepak Chawla,SP,599976
Tamil Nadu,2019,Rajesh Nair,BJP,171205
Punjab,2014,Neha Kulkarni,SP,442860
Karnataka,2019,Anita Menon,Independent,196223
West Bengal,2019,Pallavi Sharma,AITC,204273
Delhi,2024,Prakash Yadav,Independent,243291
Arunachal Pradesh,2019,Pallavi Sharma,SP,511890
Odisha,2024,Vikram Gupta,BJP,411024
Maharashtra,2024,Kiran Rao,SP,619254
Haryana,2024,Sonal Tiwari,Independent,697777
Himachal Pradesh,2024,Rajiv Das,Independent,251520
Madhya Pradesh,2014,Sonal Tiwari,Independent,343282
Chhattisgarh,2024,Deepak Chawla,AITC,371310
Karnataka,2024,Prakash Yadav,AITC,398672
Uttar Pradesh,2019,Karthik Reddy,SP,404102
Chhattisgarh,2019,Rajiv Das,BJP,494089
Uttar Pradesh,2014,Sonal Tiwari,Independent,53406
Tripura,2014,Kiran Rao,SP,107467
Delhi,2019,Manoj Singh,SP,673906
Himachal Pradesh,2014,Pooja Desai,Independent,573722
Odisha,2014,Kiran Rao,AITC,424499
Karnataka,2024,Pooja Desai,INC,670007
Delhi,2014,Karthik Reddy,INC,152103
Chhattisgarh,2019,Rajesh Nair,Independent,642853
Jharkhand,2019,Meena Chopra,Independent,299539
Delhi,2014,Kiran Rao,BJP,145607
Bihar,2024,Pooja Desai,INC,215974
Maharashtra,2014,Amit Sharma,INC,653362
Meghalaya,2024,Pallavi Sharma,BJP,332297
Tripura,2014,Rajesh Nair,Independent,190515
Odisha,2019,Pooja Desai,SP,130694
West Bengal,2024,Sonal Tiwari,Independent,659493
Delhi,2024,Manoj Singh,SP,248610
Nagaland,2019,Prakash Yadav,BJP,509371
Sikkim,2014,Pooja Desai,INC,548770
Andhra Pradesh,2019,Rajiv Das,BJP,535918
Uttar Pradesh,2014,Suresh Patel,SP,699952
Arunachal Pradesh,2024,Anita Menon,Independent,119978
Andhra Pradesh,2019,Alok Verma,SP,57074
Gujarat,2014,Karthik Reddy,BJP,88195
Kerala,2024,Prakash Yadav,BJP,386477
Tripura,2024,Suresh Patel,BJP,419715
Maharashtra,2014,Neha Kulkarni,Independent,648458
Arunachal Pradesh,2014,Amit Sharma,SP,624920
Uttar Pradesh,2024,Pallavi Sharma,SP,442045
Uttar Pradesh,2024,Manoj Singh,SP,203965
West Bengal,2024,Vikram Gupta,INC,254051
Sikkim,2024,Prakash Yadav,INC,278586
Delhi,2019,Karthik Reddy,INC,199200
Madhya Pradesh,2014,Pooja Desai,INC,292555
Uttarakhand,2019,Alok Verma,AITC,668981
Uttar Pradesh,2014,Amit Sharma,AITC,295981
Sikkim,2024,Prakash Yadav,Independent,558761
Maharashtra,2024,Alok Verma,Independent,258440
Uttar Pradesh,2024,Prakash Yadav,Independent,574725
Delhi,2024,Manoj Singh,AITC,102553
Kerala,2014,Amit Sharma,Independent,480962
Manipur,2024,Pooja Desai,SP,334319
Andhra Pradesh,2014,Sonal Tiwari,AITC,661754
Odisha,2019,Rajiv Das,Independent,365228
Uttarakhand,2024,Rajiv Das,AITC,105364
Nagaland,2014,Rajiv Das,BJP,50339
Nagaland,2019,Deepak Chawla,AITC,594753
Manipur,2024,Sonal Tiwari,Independent,331527
Chhattisgarh,2014,Meena Chopra,SP,677949
Haryana,2014,Manoj Singh,Independent,183547
Jharkhand,2014,Anita Menon,SP,578002
Nagaland,2019,Vinod Joshi,AITC,114789
Kerala,2024,Pallavi Sharma,BJP,203163
Manipur,2014,Pooja Desai,INC,137330
Rajasthan,2014,Pooja Desai,INC,185538
Delhi,2024,Anita Menon,BJP,289280
Jharkhand,2014,Karthik Reddy,Independent,649539
Arunachal Pradesh,2014,Sonal Tiwari,Independent,474909
Odisha,2024,Ramesh Gowda,SP,236491
Meghalaya,2024,Vinod Joshi,AITC,169145
Rajasthan,2024,Karthik Reddy,BJP,105309
Odisha,2014,Alok Verma,BJP,526383
Odisha,2014,Deepak Chawla,Independent,131924
Uttarakhand,2024,Prakash Yadav,SP,544923
Maharashtra,2019,Ramesh Gowda,Independent,382482
Mizoram,2019,Amit Sharma,Independent,643049
Nagaland,2024,Vinod Joshi,BJP,106145
Arunachal Pradesh,2024,Pallavi Sharma,SP,557641
Tripura,2019,Suresh Patel,AITC,230477
Manipur,2014,Prakash Yadav,Independent,501928
Tamil Nadu,2024,Sonal Tiwari,BJP,76654
Jharkhand,2024,Suresh Patel,INC,618109
Kerala,2014,Kiran Rao,INC,175746
Assam,2019,Rajesh Nair,INC,550983
Meghalaya,2019,Rajiv Das,SP,60519
Meghalaya,2014,Rajiv Das,SP,593694
Haryana,2014,Vikram Gupta,SP,306090
West Bengal,2024,Karthik Reddy,SP,66363
Uttar Pradesh,2019,Sonal Tiwari,INC,536115
Goa,2019,Amit Sharma,BJP,217539
West Bengal,2014,Neha Kulkarni,SP,323985
Arunachal Pradesh,2024,Amit Sharma,INC,130321
Bihar,2024,Karthik Reddy,BJP,455085
Tripura,2024,Vinod Joshi,AITC,202226
Punjab,2014,Suresh Patel,INC,411188
Mizoram,2024,Rajesh Nair,INC,550120
Arunachal Pradesh,2014,Alok Verma,SP,92016
Chhattisgarh,2024,Ramesh Gowda,SP,427811
Mizoram,2019,Kiran Rao,Independent,546617
Madhya Pradesh,2019,Ramesh Gowda,AITC,672305
Himachal Pradesh,2019,Amit Sharma,INC,291284
Nagaland,2014,Manoj Singh,INC,534979
Telangana,2024,Suresh Patel,SP,386431
Haryana,2019,Prakash Yadav,AITC,307001
Gujarat,2024,Anita Menon,Independent,606035
Maharashtra,2024,Meena Chopra,BJP,494364
Meghalaya,2014,Karthik Reddy,BJP,676475
Manipur,2019,Anita Menon,BJP,545879
Odisha,2024,Prakash Yadav,Independent,249714
Arunachal Pradesh,2024,Kiran Rao,INC,75295
Madhya Pradesh,2019,Meena Chopra,BJP,426966
Punjab,2014,Rajesh Nair,Independent,623437
Andhra Pradesh,2019,Simran Kaur,SP,676643
West Bengal,2019,Simran Kaur,BJP,598353
Haryana,2019,Meena Chopra,Independent,247661
Chhattisgarh,2024,Rajiv Das,SP,529915
Himachal Pradesh,2014,Alok Verma,BJP,444992
Punjab,2019,Karthik Reddy,Independent,476457
Jharkhand,2024,Suresh Patel,BJP,395167
Manipur,2019,Karthik Reddy,SP,645470
West Bengal,2014,Rajiv Das,Independent,395678
Assam,2014,Neha Kulkarni,BJP,245180
Sikkim,2014,Rajesh Nair,INC,625970
Tripura,2019,Rajiv Das,AITC,339125
Jharkhand,2024,Amit Sharma,BJP,243614
Goa,2019,Anita Menon,SP,575495
Mizoram,2024,Neha Kulkarni,SP,505264
Gujarat,2014,Vinod Joshi,Independent,418025
Bihar,2019,Karthik Reddy,Independent,131809
Goa,2024,Suresh Patel,SP,297413
Punjab,2024,Ramesh Gowda,BJP,372938
Tamil Nadu,2019,Karthik Reddy,SP,604189
Rajasthan,2024,Manoj Singh,Independent,467207
Meghalaya,2019,Sonal Tiwari,BJP,584973
Chhattisgarh,2024,Karthik Reddy,SP,116688
Sikkim,2014,Pallavi Sharma,SP,226328
Tripura,2014,Pooja Desai,Independent,59020
Manipur,2019,Meena Chopra,AITC,603251
Mizoram,2024,Deepak Chawla,SP,52267
Arunachal Pradesh,2014,Neha Kulkarni,BJP,118172
Himachal Pradesh,2019,Pallavi Sharma,AITC,537401
Manipur,2024,Deepak Chawla,Independent,82193
Uttarakhand,2019,Deepak Chawla,BJP,262091
Haryana,2024,Simran Kaur,Independent,457079
Haryana,2019,Amit Sharma,INC,598446
Karnataka,2014,Simran Kaur,INC,92543
Mizoram,2014,Sonal Tiwari,BJP,254980
Rajasthan,2014,Rajiv Das,Independent,471478
Meghalaya,2019,Manoj Singh,SP,204862
Kerala,2024,Pallavi Sharma,Independent,571623
Rajasthan,2014,Karthik Reddy,Independent,560260
Uttar Pradesh,2014,Kiran Rao,BJP,455387
Kerala,2019,Prakash Yadav,Independent,209723
West Bengal,2024,Amit Sharma,INC,226521
Arunachal Pradesh,2019,Prakash Yadav,INC,299945
Uttarakhand,2014,Pallavi Sharma,AITC,395164
Goa,2019,Alok Verma,INC,539809
Mizoram,2024,Deepak Chawla,BJP,219256
Odisha,2014,Alok Verma,AITC,78191
Bihar,2024,Sonal Tiwari,INC,312103
Haryana,2014,Amit Sharma,AITC,199681
Gujarat,2019,Pooja Desai,SP,510469
Arunachal Pradesh,2014,Vinod Joshi,BJP,637472
Meghalaya,2024,Anita Menon,Independent,108353
Chhattisgarh,2019,Kiran Rao,Independent,512476
Delhi,2014,Amit Sharma,AITC,224454
Nagaland,2019,Pooja Desai,BJP,595108
Karnataka,2024,Kiran Rao,BJP,192285
Jharkhand,2019,Deepak Chawla,SP,217064
Rajasthan,2019,Manoj Singh,AITC,351868
Tamil Nadu,2014,Karthik Reddy,Independent,100243
Gujarat,2024,Kiran Rao,Independent,479961
Telangana,2024,Rajesh Nair,INC,391600
Jharkhand,2024,Pallavi Sharma,SP,186508
Arunachal Pradesh,2019,Pallavi Sharma,INC,333740
Goa,2014,Amit Sharma,SP,693145
Jharkhand,2024,Pallavi Sharma,BJP,280558
Mizoram,2019,Pallavi Sharma,Independent,390831
Meghalaya,2019,Simran Kaur,AITC,442513
Nagaland,2024,Rajiv Das,INC,116949
Chhattisgarh,2014,Deepak Chawla,Independent,91332
Meghalaya,2019,Anita Menon,BJP,68688
Delhi,2014,Neha Kulkarni,AITC,211143
Mizoram,2024,Neha Kulkarni,AITC,676244
Mizoram,2019,Kiran Rao,INC,319948
Assam,2019,Pallavi Sharma,SP,153531
Rajasthan,2019,Simran Kaur,BJP,600829
Goa,2019,Vinod Joshi,SP,404728
Gujarat,2014,Prakash Yadav,INC,139438
Delhi,2024,Manoj Singh,AITC,675661
Delhi,2024,Alok Verma,AITC,148724
Uttar Pradesh,2014,Deepak Chawla,INC,580298
Manipur,2024,Vinod Joshi,INC,129017
Himachal Pradesh,2024,Kiran Rao,SP,362969
Meghalaya,2014,Pallavi Sharma,INC,594091
Himachal Pradesh,2024,Rajiv Das,BJP,220758
Manipur,2019,Suresh Patel,SP,625446
Haryana,2024,Neha Kulkarni,Independent,629127
Tripura,2014,Sonal Tiwari,BJP,293225
Punjab,2014,Pallavi Sharma,AITC,342793
Arunachal Pradesh,2024,Vikram Gupta,INC,175084
Karnataka,2024,Alok Verma,AITC,65781
Kerala,2024,Amit Sharma,SP,652109
Tripura,2019,Pooja Desai,BJP,529085
Kerala,2024,Manoj Singh,AITC,90956
Chhattisgarh,2024,Karthik Reddy,AITC,360679
Uttar Pradesh,2024,Sonal Tiwari,BJP,413606
Maharashtra,2024,Karthik Reddy,AITC,336810
Nagaland,2024,Vinod Joshi,SP,334821
West Bengal,2024,Rajiv Das,AITC,89545
Himachal Pradesh,2019,Pallavi Sharma,BJP,177333
Tamil Nadu,2024,Anita Menon,SP,120639
Meghalaya,2019,Alok Verma,Independent,67998
Mizoram,2024,Neha Kulkarni,Independent,160324
Madhya Pradesh,2019,Ramesh Gowda,Independent,384019
Goa,2024,Vinod Joshi,BJP,674565
Delhi,2019,Neha Kulkarni,INC,611280
Rajasthan,2019,Deepak Chawla,Independent,313663
Odisha,2019,Simran Kaur,Independent,403470
Goa,2014,Amit Sharma,BJP,101325
Himachal Pradesh,2014,Sonal Tiwari,BJP,297166
Tripura,2019,Simran Kaur,SP,256685
Telangana,2019,Neha Kulkarni,SP,372535
Uttar Pradesh,2019,Deepak Chawla,INC,401754
Sikkim,2024,Rajiv Das,INC,198897
Manipur,2019,Vikram Gupta,SP,396323
Rajasthan,2014,Anita Menon,AITC,154623
Goa,2024,Suresh Patel,BJP,523360
West Bengal,2024,Pooja Desai,BJP,592027
Uttarakhand,2019,Pallavi Sharma,INC,663241
Uttar Pradesh,2019,Karthik Reddy,INC,557790
Karnataka,2024,Neha Kulkarni,BJP,425019
